116,2,0,1,,,,,,,
117,3,3,5,,,,,,,
118,4,0,0,,,,,,,
119,5,2,1,,,,,,,
120,6,2,0,,,,,,,
121,7,0,0,,,,,,,
122,8,5,8,,,,,,,
123,9,4,0,,,,,,,
124,10,5,2,,,,,,,
125,11,0,14,,,,,,,
126,12,3,1,,,,,,,
127,13,5,1,,,,,,,
128,14,5,3,,,,,,,
129,15,1,1,,,,,,,
130,16,2,0,,,,,,,
131,17,0,0,,,,,,,
132,18,1,1,,,,,,,
133,19,0,0,,,,,,,
134,1,0,0,,,,,,,
135,2,0,0,,,,,,,
136,3,3,0,,,,,,,
137,4,0,0,,,,,,,
138,5,5,0,,,,,,,
139,6,0,0,,,,,,,
140,7,0,0,,,,,,,
141,8,5,17,,,,,,,
142,9,6,3,,,,,,,
143,10,5,3,,,,,,,
144,11,0,12,,,,,,,
145,12,0,1,,,,,,,
146,13,7,5,,,,,,,
147,14,8,7,,,,,,,
148,15,1,3,,,,,,,
149,16,4,0,,,,,,,
150,17,0,1,,,,,,,
151,18,5,0,,,,,,,
152,19,1,0,,,,,,,
153,1,11,4,,,,,,,
154,2,0,0,,,,,,,
155,3,1,1,,,,,,,
156,4,0,0,,,,,,,
157,5,1,1,,,,,,,
158,6,0,0,,,,,,,
159,7,1,0,,,,,,,
160,8,3,16,,,,,,,
161,9,2,3,,,,,,,
162,10,1,9,,,,,,,
163,11,19,7,,,,,,,
164,12,2,2,,,,,,,
165,13,5,5,,,,,,,
166,14,11,15,,,,,,,
167,15,0,0,,,,,,,
168,16,0,1,,,,,,,
169,17,3,0,,,,,,,
170,18,0,3,,,,,,,
171,19,1,1,,,,,,,
172,1,0,0,,,,,,,
173,2,0,1,,,,,,,
174,3,0,1,,,,,,,
175,4,0,0,,,,,,,
176,5,0,1,,,,,,,
177,6,0,0,,,,,,,
178,7,1,0,,,,,,,
179,8,5,2,,,,,,,
180,9,7,9,,,,,,,
181,10,5,8,,,,,,,
182,11,10,6,,,,,,,
183,12,0,2,,,,,,,
184,13,9,5,,,,,,,
185,14,8,8,,,,,,,
186,15,0,0,,,,,,,
187,16,0,3,,,,,,,
188,17,0,0,,,,,,,
189,18,0,3,,,,,,,
190,19,0,1,,,,,,,
191,1,0,2,,,,,,,
192,2,0,0,,,,,,,
193,3,1,3,,,,,,,
194,4,0,0,,,,,,,
195,5,0,1,,,,,,,
196,6,0,0,,,,,,,
197,7,0,0,,,,,,,
198,8,2,19,,,,,,,
199,9,1,6,,,,,,,
200,10,5,4,,,,,,,
201,11,1,8,,,,,,,
202,12,4,4,,,,,,,
203,13,3,4,,,,,,,
204,14,7,4,,,,,,,
205,15,1,0,,,,,,,
206,16,0,0,,,,,,,
207,17,1,0,,,,,,,
208,18,2,3,,,,,,,
209,19,1,2,,,,,,,
210,1,6,1,,,,,,,
211,2,1,0,,,,,,,
212,3,1,3,,,,,,,
213,4,0,1,,,,,,,
214,5,0,0,,,,,,,
215,6,1,0,,,,,,,
216,7,0,0,,,,,,,
217,8,3,2,,,,,,,
218,9,4,4,,,,,,,
219,10,2,2,,,,,,,
220,11,2,5,,,,,,,
221,12,2,3,,,,,,,
222,13,8,7,,,,,,,
223,14,8,3,,,,,,,
224,15,2,1,,,,,,,
225,16,0,0,,,,,,,
226,17,3,0,,,,,,,
227,18,3,5,,,,,,,
228,19,0,5,,,,,,,
229,1,0,2,,,,,,,
230,2,1,1,,,,,,,
231,3,1,0,,,,,,,
232,4,0,0,,,,,,,
233,5,0,2,,,,,,,
234,6,0,0,,,,,,,
235,7,0,0,,,,,,,
236,8,13,2,,,,,,,
237,9,7,1,,,,,,,
238,10,4,3,,,,,,,
239,11,0,3,,,,,,,
240,12,2,2,,,,,,,
241,13,3,5,,,,,,,
242,14,1,5,,,,,,,
243,15,0,0,,,,,,,
244,16,0,0,,,,,,,
245,17,1,3,,,,,,,
246,18,1,1,,,,,,,
247,19,1,2,,,,,,,
248,1,2,2,,,,,,,
249,2,0,0,,,,,,,
250,3,2,2,,,,,,,
251,4,0,0,,,,,,,
252,5,4,2,,,,,,,
253,6,0,0,,,,,,,
254,7,0,0,,,,,,,
255,8,7,11,,,,,,,
256,9,9,1,,,,,,,
257,10,1,3,,,,,,,
258,11,1,9,,,,,,,
259,12,3,4,,,,,,,
260,13,1,3,,,,,,,
261,14,6,5,,,,,,,
262,15,0,2,,,,,,,
263,16,0,1,,,,,,,
264,17,3,2,,,,,,,
